t,query_p,query_q,query_r
9.239999999999847,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.6fba9d5c7ef6cp-4
9.269999999999847,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.6fba9d5c7ef6cp-4
9.299999999999846,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.6fba9d5c7ef6cp-4
9.329999999999846,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.6fba9d5c7ef6cp-4
9.359999999999845,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.6fba9d5c7ef6cp-4
9.389999999999844,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.6fba9d5c7ef6cp-4
9.419999999999844,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.6fba9d5c7ef6cp-4
9.449999999999843,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.6fba9d5c7ef6cp-4
9.479999999999842,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.6fba9d5c7ef6cp-4
9.509999999999842,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.6fba9d5c7ef6cp-4
9.539999999999841,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.0363ddc7d7d20p-5
9.56999999999984,-0x1.aab75a69bc440p-6,-0x1.76a2784e42c40p-3,0x1.0363ddc7d7d20p-5
9.59999999999984,-0x1.aab75a69bc440p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.62999999999984,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.659999999999838,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.689999999999838,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.719999999999837,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.749999999999837,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.779999999999836,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.809999999999835,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.839999999999835,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.869999999999834,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.899999999999833,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.929999999999833,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.959999999999832,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
9.989999999999831,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
10.01999999999983,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
10.04999999999983,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
10.07999999999983,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.0363ddc7d7d20p-5
10.109999999999829,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.03eb95f9f71a4p-3
10.139999999999828,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.03eb95f9f71a4p-3
10.169999999999828,-0x1.3c55adcf8c690p-6,-0x1.a404f2e1355d0p-7,0x1.03eb95f9f71a4p-3
10.199999999999827,0x1.c497d70cb07d8p-4,-0x1.a404f2e1355d0p-7,0x1.03eb95f9f71a4p-3
10.229999999999826,0x1.c497d70cb07d8p-4,-0x1.a404f2e1355d0p-7,0x1.03eb95f9f71a4p-3
10.259999999999826,0x1.c497d70cb07d8p-4,-0x1.a404f2e1355d0p-7,0x1.03eb95f9f71a4p-3
10.289999999999825,0x1.c497d70cb07d8p-4,-0x1.a404f2e1355d0p-7,0x1.03eb95f9f71a4p-3
10.319999999999824,0x1.c497d70cb07d8p-4,-0x1.a404f2e1355d0p-7,0x1.03eb95f9f71a4p-3
10.349999999999824,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.379999999999823,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.409999999999823,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.439999999999822,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.469999999999821,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.49999999999982,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.52999999999982,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.55999999999982,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.589999999999819,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.619999999999818,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.649999999999817,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.679999999999817,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.709999999999816,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.739999999999815,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.769999999999815,0x1.c497d70cb07d8p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.799999999999814,0x1.b560fd0286048p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.829999999999814,0x1.b560fd0286048p-4,0x1.86cc4cf56a860p-7,0x1.03eb95f9f71a4p-3
10.859999999999813,0x1.b560fd0286048p-4,0x1.86cc4cf56a860p-7,-0x1.622bd2cfd7be4p-3
10.889999999999812,0x1.b560fd0286048p-4,0x1.86cc4cf56a860p-7,-0x1.622bd2cfd7be4p-3
10.919999999999812,0x1.b560fd0286048p-4,0x1.86cc4cf56a860p-7,-0x1.622bd2cfd7be4p-3
10.949999999999811,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
10.97999999999981,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.00999999999981,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.039999999999809,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.069999999999808,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.099999999999808,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.129999999999807,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.159999999999807,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.189999999999806,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.219999999999805,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
