t_cmd,cmd_thrust,cmd_phi,cmd_theta,cmd_psi
3.6299999999999666,0x1.74342bb708007p+15,0x1.e3669f6000000p+4,-0x1.4fdbe52000000p+6,0x1.76680a2500000p+6
3.659999999999966,0x1.744a165e365ddp+15,-0x1.0644c8a000000p+5,0x1.56df708000000p+6,-0x1.6f860fbd00000p+6
3.6899999999999653,0x1.746192e439205p+15,0x1.d45c12c000000p+4,-0x1.387c09f000000p+6,0x1.68445ee400000p+6
3.7199999999999647,0x1.747aa13a2d54ep+15,-0x1.00418b5000000p+5,0x1.4074973000000p+6,-0x1.63ccd4cc00000p+6
3.749999999999964,0x1.74953d0cccf26p+15,0x1.cadb2ce000000p+4,-0x1.1ed0079000000p+6,0x1.5c81003f00000p+6
3.7799999999999634,0x1.74b161c2e50c0p+15,-0x1.f0a69a4000000p+4,0x1.263ad55000000p+6,-0x1.549ea40d00000p+6
3.8099999999999627,0x1.74cf0a68422dfp+15,0x1.c592998000000p+4,-0x1.02d757a000000p+6,0x1.4dacacdf00000p+6
3.839999999999962,0x1.74ee41c0fae8bp+15,-0x1.e9b583e000000p+4,0x1.0a13dcf000000p+6,-0x1.442e2dd700000p+6
3.8699999999999615,0x1.750efee002d49p+15,0x1.a84ac96000000p+4,-0x1.9d713c4000000p+6,0x1.79aee5b400000p+6
3.899999999999961,0x1.75313c235664cp+15,-0x1.918e444000000p+4,0x1.aa2cb86000000p+5,0x1.488700a700000p+6
3.92999999999996,0x1.7554fd06954d5p+15,-0x1.35e5039000000p+8,0x1.1164949000000p+7,0x1.167050be00000p+8
3.9599999999999596,0x1.757a2533fefefp+15,-0x1.335e31a000000p+8,-0x1.9075846000000p+6,-0x1.1e79e20c00000p+8
3.989999999999959,0x1.759ff13475d44p+15,-0x1.2c9967e000000p+8,-0x1.27eff92000000p+5,-0x1.8b01b63400000p+8
4.019999999999959,0x1.75c4fa69dd5d5p+15,-0x1.4ffc800000000p+7,-0x1.a23d52e000000p+6,0x1.e9e1e2aa00000p+4
4.049999999999958,0x1.75e7f2e471953p+15,-0x1.8d0f553000000p+6,0x1.418b983000000p+5,0x1.27902fbd00000p+5
4.079999999999957,0x1.7607e21e24d08p+15,-0x1.74fbef8000000p+5,-0x1.40627b4000000p+5,0x1.74399a2f00000p+7
4.109999999999957,0x1.76242d2b63ad3p+15,-0x1.31b6706000000p+5,0x1.2f596c0000000p+5,0x1.f48309e600000p+2
4.139999999999956,0x1.763caaebdd2d3p+15,-0x1.b3fb1ee000000p+2,-0x1.6d3b4de000000p+4,0x1.f507580400000p+6
4.1699999999999555,0x1.765158da00e93p+15,-0x1.44a9917000000p+4,0x1.00fcb6f000000p+5,-0x1.3610aac200000p+4
4.199999999999955,0x1.766253e2cf737p+15,0x1.a7fd6b2000000p+2,-0x1.298b248000000p+4,0x1.1ec200f000000p+6
4.229999999999954,0x1.766fd1c7a4ce8p+15,-0x1.d962478000000p+3,0x1.a314e98000000p+4,-0x1.e1302e6400000p+4
4.259999999999954,0x1.7679fa2dfcc4ap+15,0x1.50a7ef8000000p+3,-0x1.1769f4c000000p+4,0x1.4bf5606c00000p+5
4.289999999999953,0x1.7680f7a86dfbdp+15,-0x1.9369250000000p+3,0x1.5764d04000000p+4,-0x1.fc53774600000p+4
4.319999999999952,0x1.7684f6eed7fb3p+15,0x1.71433e7000000p+3,-0x1.0974496000000p+4,0x1.a1d4d8fa00000p+4
4.349999999999952,0x1.7686279a90aadp+15,-0x1.6a7d8f0000000p+3,0x1.1eb050d000000p+4,-0x1.e54f0a5600000p+4
4.379999999999951,0x1.7684c6968b8e7p+15,0x1.66d3182000000p+3,-0x1.f940ef2000000p+3,0x1.47010e7b00000p+4
4.40999999999995,0x1.768102cfb7b44p+15,-0x1.5215574000000p+3,0x1.e7fa986000000p+3,-0x1.84c4df3000000p+4
4.43999999999995,0x1.767b040d44286p+15,0x1.58a5010000000p+3,-0x1.d9caf78000000p+3,0x1.1b01b09b00000p+4
4.469999999999949,0x1.7672ef0b48e7ep+15,0x1.0361bee000000p+6,0x1.fba9e6e000000p+2,0x1.a99e2b0400000p+4
4.4999999999999485,0x1.7668ebbe3e7d5p+15,-0x1.7607fbd000000p+4,0x1.72eb366000000p+4,-0x1.9384701c00000p+7
4.529999999999948,0x1.765d409f29f3dp+15,0x1.71d5a94000000p+5,-0x1.db703b4000000p+4,-0x1.266122af00000p+4
