t,z,u,v,w,phi,theta,psi,p,q,r
0.8100000000000005,0x1.aa0b7001dcdd8p-1,-0x1.c5a16de6a9564p-1,-0x1.07205dbac6728p+0,-0x1.f102d01a7b0c7p-6,0x1.e02046a870f34p-4,-0x1.63ac62b30c2fdp-3,-0x1.9cf97719f5f5ap-1,0x1.7f711b03220a3p-4,0x1.039eefd602d62p-3,-0x1.a4d9925fdcae4p-4
0.8400000000000005,0x1.a565c9c933214p-1,-0x1.ddb4f63994532p-1,-0x1.10a5b62fa78f3p+0,-0x1.524276e771f5fp-6,0x1.eb549148de97ap-4,-0x1.5cb6b5b71cfc3p-3,-0x1.9e603b9f39febp-1,0x1.d742366c6158ap-5,0x1.3b0e5eb4b91d7p-4,-0x1.a42b41ec0ed97p-4
0.8700000000000006,0x1.a0b663389afb9p-1,-0x1.f53bcf84d72e5p-1,-0x1.1a631c9785b24p+0,-0x1.785dc862beb4fp-7,0x1.f3021856bae8ep-4,-0x1.55f0b681b20dfp-3,-0x1.9fd1c08cd89f4p-1,0x1.260fbc5bd7d27p-5,0x1.e9eec1ac11845p-4,-0x1.ba3456a39ab74p-4
0.9000000000000006,0x1.9bff4cb91c80fp-1,-0x1.06256ed660985p+0,-0x1.243ca5bc69835p+0,-0x1.50401dd74ef67p-9,0x1.f8cb79a6aedccp-4,-0x1.4f2f5004c983dp-3,-0x1.a12a701fba2c1p-1,0x1.e220fcfa1faedp-6,0x1.3d7c2d3a2b306p-4,-0x1.72dea858db5bep-4
0.9300000000000006,0x1.974281ea04881p-1,-0x1.1177b3fd80523p+0,-0x1.2e2da569823c9p+0,0x1.96a03ee1c938ep-8,0x1.fd4de8923e18ap-4,-0x1.4874b53edc290p-3,-0x1.a26f25814d78bp-1,0x1.1befa1975573ep-6,0x1.ea647332168c9p-4,-0x1.9276af6b369d2p-4
0.9600000000000006,0x1.9281e5a9f428fp-1,-0x1.1c8ac0645cffep+0,-0x1.3832421e8eed0p+0,0x1.eadaa32fb90e8p-7,0x1.009fbe90b7fc6p-3,-0x1.41be58c81a919p-3,-0x1.a3a43b5115b17p-1,0x1.686969bd574cep-6,0x1.3e79dbff2a83ep-4,-0x1.53d1bbc5e08a6p-4
0.9900000000000007,0x1.8dbf40c93c06fp-1,-0x1.2765340d1b530p+0,-0x1.424af57b43204p+0,0x1.849d3f8e40e12p-6,0x1.0259a74e45127p-3,-0x1.3b049c86bcceap-3,-0x1.a4cd26b31f710p-1,0x1.625e0b2a5aa01p-7,0x1.ee8a5b582f444p-4,-0x1.7af69f62d6cefp-4
1.0200000000000007,0x1.88fc3f9f582b2p-1,-0x1.31fb7ba3267e4p+0,-0x1.4c77008d26ab1p+0,0x1.0a5212e98fa72p-5,0x1.03fe26668e7fcp-3,-0x1.344fa04799d06p-3,-0x1.a5efd5e70e78cp-1,0x1.4b875ef39710bp-6,0x1.3d087abb0a509p-4,-0x1.47ad42ded3094p-4
1.0500000000000007,0x1.843a746ad054fp-1,-0x1.3c559aa78a5c1p+0,-0x1.56b7e096ab553p+0,0x1.523c14aad96f9p-5,0x1.058676e5eb8f9p-3,-0x1.2d95d19bc3e1ap-3,-0x1.a70d1eb73d938p-1,0x1.0a5b9352af2edp-7,0x1.f1d6560682325p-4,-0x1.713dd547a1bd0p-4
1.0800000000000007,0x1.7f7b57296f483p-1,-0x1.4668e337f8066p+0,-0x1.610c32e58261cp+0,0x1.9a8fb72c84db2p-5,0x1.0709b0d4092cep-3,-0x1.26e2bea129207p-3,-0x1.a8287f8ac259ap-1,0x1.4ac96eb3d7372p-6,0x1.3985d7b196624p-4,-0x1.442563c618c59p-4
1.1100000000000008,0x1.7ac044f002dafp-1,-0x1.503e2ddb8a671p+0,-0x1.6b75f4f5f12bap+0,0x1.e2b5316a339bdp-5,0x1.087d260ad9700p-3,-0x1.202bbd8cad8a4p-3,-0x1.a941c96906b41p-1,0x1.ba6d4672a2a19p-8,0x1.f3dcae07758c0p-4,-0x1.6e2b82af6078fp-4
1.1400000000000008,0x1.760a8132f5261p-1,-0x1.59cb6f4be50f5p+0,-0x1.75f2d741e97cep+0,0x1.15862a973c6f6p-4,0x1.09efa878bef8fp-3,-0x1.197ac128c08f6p-3,-0x1.aa5abaab9a497p-1,0x1.50aa1ab6bfe0dp-6,0x1.3601305f739d1p-4,-0x1.43cb6837b759ep-4
1.1700000000000008,0x1.715b37acbb47dp-1,-0x1.6319e62d5803bp+0,-0x1.808536405fa6fp+0,0x1.399016833b69bp-4,0x1.0b58082782984p-3,-0x1.12c86f9483e0ap-3,-0x1.ab72febaa2502p-1,0x1.87e60b70486afp-8,0x1.f431dde905433p-4,-0x1.6dc851a955e13p-4
1.2000000000000008,0x1.6cb37df6d02f9p-1,-0x1.6c20248541fabp+0,-0x1.8b29debd0373dp+0,0x1.5d7ccf3b67dbbp-4,0x1.0cbe933caa9c4p-3,-0x1.0c136d4368887p-3,-0x1.ac8abc64c9d89p-1,0x1.54dcde67c73d2p-6,0x1.370d1037ae903p-4,-0x1.43a066f4df62dp-4
1.2300000000000009,0x1.6814524668530p-1,-0x1.74e70ef5d48a4p+0,-0x1.95e388fe93c74p+0,0x1.81359970e70a0p-4,0x1.0e1e648fa160dp-3,-0x1.055e99a1ccf25p-3,-0x1.ada228dee8bcep-1,0x1.700f37da4435ap-8,0x1.f3aa178bc4094p-4,-0x1.6e00b3a7dabf6p-4
1.260000000000001,0x1.637e9e8528c21p-1,-0x1.7d6b55c4ddc74p+0,-0x1.a0a963e518eeap+0,0x1.a66de7eef7d22p-4,0x1.0f75e9597c6e8p-3,-0x1.fe82fc9fbce4fp-4,-0x1.aeb6f44bb81fbp-1,0x1.4d69191bd0cd8p-6,0x1.d1f1a6ae7e2b0p-5,-0x1.3480984b26522p-4
1.290000000000001,0x1.5ef32e2135c46p-1,-0x1.85b3b75eac83fp+0,-0x1.ab86422bc4b3cp+0,0x1.cf51e70f22d6dp-4,0x1.10d151e575155p-3,-0x1.f4c70b2367dfcp-4,-0x1.afda65d3792fap-1,0x1.6dae371d1cd25p-8,0x1.4a679fdfa5082p-4,-0x1.76be9e444b26ep-4
1.320000000000001,0x1.5a72a12bc5ee5p-1,-0x1.8dbe3dd2138f5p+0,-0x1.b67b05b3d4735p+0,0x1.fa65ca0e29895p-4,0x1.12319b90c2457p-3,-0x1.ec7092f35287dp-4,-0x1.b10cefefbf0e4p-1,0x1.4d8ad4d690a0cp-6,0x1.1032d173077e4p-5,-0x1.47876ff890e78p-4
1.350000000000001,0x1.55fd7b592e48cp-1,-0x1.95a1d00fab3cfp+0,-0x1.c181cef781630p+0,0x1.1384c62616532p-3,0x1.1393339d9aa37p-3,-0x1.e50f465cbc54ap-4,-0x1.b241334f277a5p-1,0x1.85552479d7076p-8,0x1.0a23f305ec132p-4,-0x1.723f212d934f1p-4
1.380000000000001,0x1.51942d2da027ap-1,-0x1.9d57879e5658ap+0,-0x1.cc9ab7d6a295bp+0,0x1.2a553a0105a1ap-3,0x1.14f2268771afdp-3,-0x1.de465dea276d3p-4,-0x1.b379a4c578541p-1,0x1.4858196e84193p-6,0x1.7c95c5477931ep-6,-0x1.4b1d7156f2f0ap-4
1.410000000000001,0x1.4d3715c7eb2f0p-1,-0x1.a4ebe6e21ca2ap+0,-0x1.d7c61291aae26p+0,0x1.417893c41c68cp-3,0x1.1650a2df2412cp-3,-0x1.d7daa3a2276a1p-4,-0x1.b4b275840374bp-1,0x1.90a64afc0d75bp-8,0x1.e2f95dc42e7eap-5,-0x1.702358b494397p-4
1.440000000000001,0x1.48e6a56425224p-1,-0x1.ac9f9377944c5p+0,-0x1.e2c19e7cd0f8ep+0,0x1.59881ac04f435p-3,0x1.17ac6c24c94fep-3,-0x1.d263ebf77b5c7p-4,-0x1.b5a1c46077335p-1,0x1.8c4ccaa2aee66p-6,0x1.a13e988351a33p-7,-0x1.5802ab4d5f144p-5
1.470000000000001,0x1.44a3275029aafp-1,-0x1.b476b6138f481p+0,-0x1.ed9d513a7b578p+0,0x1.6e7cc9be29f05p-3,0x1.17bacae1a807cp-3,-0x1.cc510a07c075cp-4,-0x1.b64eed1829a7bp-1,-0x1.089ad638e2eacp-5,0x1.2c2da7e995a31p-4,-0x1.dc8bc61d429fap-5
1.500000000000001,0x1.406cd89eaa469p-1,-0x1.bc223b9254634p+0,-0x1.f8855ba78ea7ep+0,0x1.7d19ae2f269bdp-3,0x1.14b938d54d212p-3,-0x1.c607d98a8171fp-4,-0x1.b70173c2fbd12p-1,-0x1.35f2d00f65b84p-4,0x1.03b32980e2569p-6,-0x1.7197186fa92b6p-5
1.5300000000000011,0x1.3c4443e189183p-1,-0x1.c3a80c712ef4bp+0,-0x1.01afc0e979950p+1,0x1.87dc81faedd95p-3,0x1.0f92c2f3ce9cep-3,-0x1.c0b3042bf33f2p-4,-0x1.b7c143ef3bbb0p-1,-0x1.a4af1e97d1459p-4,0x1.d4b885535fb68p-5,-0x1.00380bb25e44cp-4
1.5600000000000012,0x1.382a150c60159p-1,-0x1.cb1874a2cb995p+0,-0x1.07022551a7275p+1,0x1.9014ecae4537ap-3,0x1.09564785564ddp-3,-0x1.bba027eb4ac87p-4,-0x1.b876a99456eb0p-1,-0x1.c3eb10423e1b6p-4,0x1.9e4ed11136225p-7,-0x1.411603130f022p-5
1.5900000000000012,0x1.341ef314eb5e7p-1,-0x1.d28b64b707233p+0,-0x1.0c2ef83564fe8p+1,0x1.9668f44a37b17p-3,0x1.02605e889d0f4p-3,-0x1.b6e432ee3ca32p-4,-0x1.b914a948e22c9p-1,-0x1.ff8c496903575p-4,0x1.b71fd7fa39f9ep-5,-0x1.9864fa86bdb54p-5
1.6200000000000012,0x1.30237e5030b56p-1,-0x1.d9f1bf53573c6p+0,-0x1.1135c81baa555p+1,0x1.9b382e08829a1p-3,0x1.f6253ea653bccp-4,-0x1.b20fbd16773e3p-4,-0x1.b9a2ebdfae00dp-1,-0x1.edd0f9c64fd45p-4,0x1.fa716c3e15513p-7,-0x1.0084cae014367p-5
1.6500000000000012,0x1.2c384fd543a58p-1,-0x1.e152e36439620p+0,-0x1.16158e9c89c76p+1,0x1.9ee22de70eff2p-3,0x1.e70e77c8d65dfp-4,-0x1.ad62628f2357cp-4,-0x1.ba22b635d6aa0p-1,-0x1.0e0f0b624e652p-3,0x1.acc7a51f19217p-5,-0x1.581381107e730p-5
1.6800000000000013,0x1.285df0d87effap-1,-0x1.e89f526e34904p+0,-0x1.1ad01fc845cf8p+1,0x1.a16d355c1e433p-3,0x1.d7c2964fb4a85p-4,-0x1.a892e426e7429p-4,-0x1.ba9bf43ea13bcp-1,-0x1.f9f008dd11dc6p-4,0x1.2adff63bccefep-6,-0x1.cbf9dee09a932p-6
1.7100000000000013,0x1.2494decfb8611p-1,-0x1.efdde9fe5ed20p+0,-0x1.1f657e9a5d51ap+1,0x1.a31aa4bba97d9p-3,0x1.c8501c3904e2ap-4,-0x1.a3dd24410c9e7p-4,-0x1.bb0f070a40687p-1,-0x1.1244732931427p-3,0x1.a4b570473190bp-5,-0x1.3ab7378a7f403p-5
1.7400000000000013,0x1.20dd855e69b90p-1,-0x1.f702f514556fap+0,-0x1.23d6ca11c18dep+1,0x1.a3cb41d96e209p-3,0x1.b8cf4fab879cap-4,-0x1.9f06bdacfd7b3p-4,-0x1.bb8096cc2cc0cp-1,-0x1.fd16037feda13p-4,0x1.51c35478bea89p-6,-0x1.bfa6d3b5dc982p-6
1.7700000000000014,0x1.1d3841a47148cp-1,-0x1.fe162cd750313p+0,-0x1.2823d2902cae5p+1,0x1.a3a2bbb1dbf50p-3,0x1.a941fdde84428p-4,-0x1.9a34f9e0850dcp-4,-0x1.bbef4ae3b0eb9p-1,-0x1.13737f5ee2611p-3,0x1.a5c5e081332e0p-5,-0x1.2c3299b3e9887p-5
1.8000000000000014,0x1.19a562f379865p-1,-0x1.02870449967aap+1,-0x1.2c4d03e01b64ap+1,0x1.a287926d4223cp-3,0x1.99af147680a4dp-4,-0x1.9545ee589d1c2p-4,-0x1.bc5e0ba8fc7e0p-1,-0x1.fe4b6a75cae37p-4,0x1.73b0c429464acp-6,-0x1.bf5a16ec25038p-6
1.8300000000000014,0x1.16252bdbf9accp-1,-0x1.05f8bf345789dp+1,-0x1.3052748572a9fp+1,0x1.a099b2c450ac4p-3,0x1.8a1be1a79dda5p-4,-0x1.9054ec4f08626p-4,-0x1.bccbbe7a2abb2p-1,-0x1.133c1c1a85531p-3,0x1.a95c73c103f76p-5,-0x1.25685e9f4fbddp-5
1.8600000000000014,0x1.12b7cfb2ec3f9p-1,-0x1.095c60c645e4dp+1,-0x1.34340c21b153cp+1,0x1.9db885a175441p-3,0x1.7a831ab7b1ad7p-4,-0x1.8b49655a5dbe7p-4,-0x1.bd39fe3b3fbacp-1,-0x1.ff986ff60be3dp-4,0x1.92604b0efa8c4p-6,-0x1.c27dfdc4c8086p-6
1.8900000000000015,0x1.0f5d7754f0cb5p-1,-0x1.0cb504ea422f8p+1,-0x1.37f20c47313f0p+1,0x1.9a099fcb6bca6p-3,0x1.6aec077aedccdp-4,-0x1.863caa5eb0204p-4,-0x1.bda8134123c43p-1,-0x1.12d945dae8174p-3,0x1.ac289623d3a02p-5,-0x1.222d1641c5b4cp-5
1.9200000000000015,0x1.0c16403c6f806p-1,-0x1.0fff694f5d0f9p+1,-0x1.3b8bfd011da3bp+1,0x1.957331af57a46p-3,0x1.5b53fa23d43a0p-4,-0x1.811a2e202dd58p-4,-0x1.be16c6a94ca54p-1,-0x1.ffb393ec5df71p-4,0x1.ac2200a71cd6cp-6,-0x1.c5644a6500362p-6
1.9500000000000015,0x1.08e2554f683e5p-1,-0x1.1310f8849168fp+1,-0x1.3f29f265ca99dp+1,0x1.8f68cd2a7b24ap-3,0x1.4bbffef2ba3a7p-4,-0x1.7b4e9ba52221cp-4,-0x1.becdf1c5bce07p-1,-0x1.192a31a649b10p-3,0x1.ed798321beec5p-5,-0x1.29327785cc901p-4
1.9800000000000015,0x1.05c1c0e4669ffp-1,-0x1.15e08726ebc7ep+1,-0x1.42d09f28dc782p+1,0x1.8429d1277203cp-3,0x1.3c6bd320e4897p-4,-0x1.71587fe994d43p-4,-0x1.bfceb12412877p-1,-0x1.fc6c058a38395p-4,0x1.752aa04892a34p-4,-0x1.1e2e95f638f0fp-4
2.010000000000001,0x1.02b48119b3a5dp-1,-0x1.1891264bf0289p+1,-0x1.4659eef22bda5p+1,0x1.74aed563cefbdp-3,0x1.2d3a5e025a4c6p-4,-0x1.6430a3e3f0820p-4,-0x1.c0d2244c09a17p-1,-0x1.141f81ce12791p-3,0x1.ccdd518b946f2p-4,-0x1.3cb852192046bp-4
2.0400000000000005,0x1.ff756fa4871adp-2,-0x1.1b119f51fda83p+1,-0x1.49cc2c1c2792bp+1,0x1.62aacc6bdbe1ep-3,0x1.1e0cfaf3db1a2p-4,-0x1.559b268e13ea6p-4,-0x1.c1ea3c3893f75p-1,-0x1.fd339175b68ddp-4,0x1.d34740c1ddd3ap-4,-0x1.4ccff44a874fcp-4
2.07,0x1.f9a906c8ec1c8p-2,-0x1.1d670fe3b0cadp+1,-0x1.4d2146f519440p+1,0x1.4e726b841c5bdp-3,0x1.0efc258f7963ep-4,-0x1.45ca6a37c483ep-4,-0x1.c30b185815c7ap-1,-0x1.10140f89f1baap-3,0x1.0ff22b17e0913p-3,-0x1.513554237f899p-4
2.099999999999999,0x1.f403f5505bb7dp-2,-0x1.1f912f27d3a11p+1,-0x1.5054fb87f87bfp+1,0x1.386f6086693ffp-3,0x1.ffbb602ccbd9fp-5,-0x1.354e58c3bad44p-4,-0x1.c42fe3efc2784p-1,-0x1.ff029119189fbp-4,0x1.00ddea8e74521p-3,-0x1.545225ce478acp-4
2.1299999999999986,0x1.ee8655d7e0d6cp-2,-0x1.218ec6802a68cp+1,-0x1.53684cd55a590p+1,0x1.20eda8b201ce8p-3,0x1.e1981fe8d1f00p-5,-0x1.2449b4bd0555dp-4,-0x1.c55a12270719bp-1,-0x1.0d93f3d5a77c0p-3,0x1.229859d108aa0p-3,-0x1.5acb7b20880cbp-4
2.159999999999998,0x1.e9302a8abc13ap-2,-0x1.237056a5438a9p+1,-0x1.56493545fbdc0p+1,0x1.0d2d78091a075p-3,0x1.ca017db40f2bfp-5,-0x1.13864f4d566dep-4,-0x1.c66e3346c7653p-1,-0x1.1f0607078fdcfp-4,0x1.f59a5754a87acp-4,-0x1.22145c3256482p-4
